date,country_region,country_region_code,sub_region_1,sub_region_1_code,sub_region_2,sub_region_2_code,sub_region_3,sub_region_3_code,place_id,sni_covid19_vaccination,sni_vaccination_intent,sni_safety_side_effects
2022-01-03,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,48.321,13.206,4.055
2023-02-06,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,6.016,1.514,0.605
2023-03-27,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,5.272,0.967,0.469
2023-07-03,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,2.8,,
2021-01-04,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,69.663,10.101,8.109
2022-11-21,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,8.31,2.866,1.003
2022-12-05,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,6.947,2.351,0.732
2022-02-07,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,26.093,4.882,2.016
2022-02-21,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,18.335,4.86,1.534
2022-09-05,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,15.946,7.291,0.518
2022-09-26,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,25.548,12.216,1.983
2023-04-10,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,8.367,2.952,0.545
2021-11-22,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,66.384,13.23,4.161
2021-10-04,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,36.125,8.496,3.607
2021-12-06,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,129.499,32.132,5.385
2021-01-18,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,55.706,8.378,7.219
2023-01-02,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,8.143,2.442,0.698
2023-03-06,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,4.619,0.811,0.449
2022-04-25,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,19.638,6.388,1.281
2021-10-11,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,39.066,8.694,3.765
2023-05-15,United Kingdom,GB,England,GB-ENG,Wycombe District,,,,ChIJ-2lzwCCLdkgRIOfCu6gcDgQ,4.832,1.121,0.487
